"source","target","id","developer_comments"
"RYUJI_FOE_FOLLOW_START_1_0","哇，F.O.E！","RYUJI_FOE_FOLLOW_START_1_0",""
"RYUJI_FOE_FOLLOW_START_2_0","F.O.E来了！","RYUJI_FOE_FOLLOW_START_2_0",""
"RYUJI_FOE_FOLLOW_START_3_0","找到了！","RYUJI_FOE_FOLLOW_START_3_0",""
"RYUJI_FOE_NEAR_1_0","哇，这个 F.O.E 真可怕！","RYUJI_FOE_NEAR_1_0",""
"RYUJI_FOE_NEAR_2_0","喂，有敌人出现！","RYUJI_FOE_NEAR_2_0",""
"RYUJI_FOE_NEAR_3_0","F.O.E太近了，快跑！","RYUJI_FOE_NEAR_3_0",""
"RYUJI_FOE_FOLLOW_END_1_0","哇，逃掉了吗。","RYUJI_FOE_FOLLOW_END_1_0",""
"RYUJI_FOE_FOLLOW_END_2_0","好的，我赢了！","RYUJI_FOE_FOLLOW_END_2_0",""
"RYUJI_FOE_FOLLOW_END_3_0","呵呵，看样子你放弃了呢。","RYUJI_FOE_FOLLOW_END_3_0",""
"RYUJI_KANSI_REACTION_1_0","希望能找到。","RYUJI_KANSI_REACTION_1_0",""
"RYUJI_KANSI_REACTION_2_0","哎呀，好麻烦啊。","RYUJI_KANSI_REACTION_2_0",""
"RYUJI_KANSI_REACTION_3_0","嘿，好紧张啊...","RYUJI_KANSI_REACTION_3_0",""
"RYUJI_DENKISAKU_REACTION_0","这样下去是过不去的……","RYUJI_DENKISAKU_REACTION_0",""
"RYUJI_DENKISAKU_REACTION_2_0","找找看关电源的开关吧！","RYUJI_DENKISAKU_REACTION_2_0",""
"RYUJI_DENKISAKU_REACTION_3_0","哇，电网围栏啊！","RYUJI_DENKISAKU_REACTION_3_0",""
"RYUJI_KYOUHU_REACTION_1_0","哇啊！","RYUJI_KYOUHU_REACTION_1_0",""
"RYUJI_KYOUHU_REACTION_2_0","风好大！","RYUJI_KYOUHU_REACTION_2_0",""
"RYUJI_KYOUHU_REACTION_3_0","真的吗！？","RYUJI_KYOUHU_REACTION_3_0","机翻辅助：

真的假的！？

真的吗！？"
"RYUJI_STAIR_FIND_1_0","看起来好像有前进的地方，发现了！","RYUJI_STAIR_FIND_1_0",""
"RYUJI_STAIR_FIND_2_0","走吧！","RYUJI_STAIR_FIND_2_0",""
"RYUJI_STAIR_FIND_3_0","嘿，看起来我们可以继续前进了！","RYUJI_STAIR_FIND_3_0",""
"RYUJI_TREASURE_FIND_1_0","宝贝，发现了！","RYUJI_TREASURE_FIND_1_0",""
"RYUJI_TREASURE_FIND_2_0","好的，我得到宝物了！","RYUJI_TREASURE_FIND_2_0",""
"RYUJI_TREASURE_FIND_3_0","找到宝箱了！","RYUJI_TREASURE_FIND_3_0",""
"RYUJI_CHECK_WALL_1_0","这附近感觉有点可疑吧？","RYUJI_CHECK_WALL_1_0",""
"RYUJI_CHECK_WALL_2_0","嘿，你为什么不去查一下呢？","RYUJI_CHECK_WALL_2_0",""
"RYUJI_CHECK_WALL_3_0","有点不太对劲呢……","RYUJI_CHECK_WALL_3_0",""
"RYUJI_SWITCH_FIND_1_0","那个是开关吧？","RYUJI_SWITCH_FIND_1_0",""
"RYUJI_SWITCH_FIND_2_0","按钮好像有点像。","RYUJI_SWITCH_FIND_2_0",""
"RYUJI_SWITCH_FIND_3_0","押す？　押しちゃう？","RYUJI_SWITCH_FIND_3_0",""
"RYUJI_SHORTCUT_FIND_1_0","喂，那里不能通行吗？","RYUJI_SHORTCUT_FIND_1_0",""
"RYUJI_SHORTCUT_FIND_2_0","那边看起来可以走捷径吧？","RYUJI_SHORTCUT_FIND_2_0",""
"RYUJI_SHORTCUT_FIND_3_0","看啊，这条路看起来好像是捷径吧？","RYUJI_SHORTCUT_FIND_3_0",""
"RYUJI_FOE_WARNING_NEAR_1_0","喂喂，F.O.E还在来呢！","RYUJI_FOE_WARNING_NEAR_1_0",""
"RYUJI_FOE_WARNING_NEAR_2_0","太没素质了，那个F.O.E！","RYUJI_FOE_WARNING_NEAR_2_0",""
"RYUJI_FOE_WARNING_NEAR_3_0","还没有FOE，不要掉以轻心！","RYUJI_FOE_WARNING_NEAR_3_0",""
"RYUJI_1PERSON_HPTP10_1_0","达到极限了...","RYUJI_1PERSON_HPTP10_1_0",""
"RYUJI_1PERSON_HPTP10_2_0","わりぃ、しんどいわ…","RYUJI_1PERSON_HPTP10_2_0",""
"RYUJI_1PERSON_HPTP10_3_0","哦...好累...","RYUJI_1PERSON_HPTP10_3_0",""
"RYUJI_1PERSON_HP10_1_0","啊...真烦人...","RYUJI_1PERSON_HP10_1_0",""
"RYUJI_1PERSON_HP10_2_0","请帮我回复一下……","RYUJI_1PERSON_HP10_2_0",""
"RYUJI_1PERSON_HP10_3_0","哎呀，好像要倒下了...","RYUJI_1PERSON_HP10_3_0",""
"RYUJI_1PERSON_TP10_1_0","真的让人心碎啊……","RYUJI_1PERSON_TP10_1_0",""
"RYUJI_1PERSON_TP10_2_0","肚子饿了...好累...","RYUJI_1PERSON_TP10_2_0",""
"RYUJI_1PERSON_TP10_3_0","累得要死了...","RYUJI_1PERSON_TP10_3_0",""
"RYUJI_1PERSON_HP80_1_0","轻松取得胜利了呢！","RYUJI_1PERSON_HP80_1_0",""
"RYUJI_1PERSON_HP80_2_0","冲啊！","RYUJI_1PERSON_HP80_2_0",""
"RYUJI_1PERSON_HP80_3_0","来吧，我们继续前进！","RYUJI_1PERSON_HP80_3_0",""
"RYUJI_DUNGEON_START_1_0","那么，开始吧。","RYUJI_DUNGEON_START_1_0",""
"RYUJI_DUNGEON_START_2_0","準備バッチシ！　いつでも行けるぜ！","RYUJI_DUNGEON_START_2_0",""
"RYUJI_DUNGEON_START_3_0","那好，我走了！","RYUJI_DUNGEON_START_3_0",""
"RYUJI_QUEST_START_1_0","牛，作战开始了！","RYUJI_QUEST_START_1_0",""
"RYUJI_QUEST_START_2_0","赶快解决吧！","RYUJI_QUEST_START_2_0",""
"RYUJI_QUEST_START_3_0","如果像平常一样去的话应该没问题吧！","RYUJI_QUEST_START_3_0",""
"RYUJI_TOUHA_25_1_0","还有很长的路要走呢～","RYUJI_TOUHA_25_1_0",""
"RYUJI_TOUHA_25_2_0","嘿，我们一起加油吧！","RYUJI_TOUHA_25_2_0",""
"RYUJI_TOUHA_50_1_0","哦，大概是一半的样子吧。","RYUJI_TOUHA_50_1_0",""
"RYUJI_TOUHA_50_2_0","现在开始是使命召唤！","RYUJI_TOUHA_50_2_0",""
"RYUJI_TOUHA_75_1_0","结构，去吧！","RYUJI_TOUHA_75_1_0",""
"RYUJI_TOUHA_75_2_0","嗯，感觉不错！","RYUJI_TOUHA_75_2_0",""
"RYUJI_TOUHA_100_1_0","你说，完美啦！","RYUJI_TOUHA_100_1_0",""
"RYUJI_TOUHA_100_2_0","这个楼层已经被征服了！","RYUJI_TOUHA_100_2_0",""
"RYUJI_MAPPING_ICON_ALL_1_0","好啊！","RYUJI_MAPPING_ICON_ALL_1_0",""
"RYUJI_MAPPING_ICON_ALL_2_0","哦，不错！","RYUJI_MAPPING_ICON_ALL_2_0",""
"RYUJI_MAPPING_ICON_KAIDA_0","对对，就是那里！","RYUJI_MAPPING_ICON_KAIDA_0",""
"RYUJI_MAPPING_ICON_KAIDA_2_0","干得漂亮。","RYUJI_MAPPING_ICON_KAIDA_2_0",""
"RYUJI_MAPPING_CHANGE_COL_0","哦，感觉不错！","RYUJI_MAPPING_CHANGE_COL_0",""
"RYUJI_MAPPING_CHANGE_COL_2_0","帅气！","RYUJI_MAPPING_CHANGE_COL_2_0",""
