"source","target","id","developer_comments"
"HARU_FOE_FOLLOW_START_1_0","被发现了！ ","HARU_FOE_FOLLOW_START_1_0","机翻辅助：

被发现了！ 

找到了！"
"HARU_FOE_FOLLOW_START_2_0","被追上了，大家！ ","HARU_FOE_FOLLOW_START_2_0","机翻辅助：

被追上了，大家！ 

大家都被追捕了！ 

大家都在追我！"
"HARU_FOE_FOLLOW_START_3_0","F.O.E来了！ ","HARU_FOE_FOLLOW_START_3_0","机翻辅助：

F.O.E来了！ 

F.O.E来啦！"
"HARU_FOE_NEAR_1_0","嘘！在这里…… ","HARU_FOE_NEAR_1_0","机翻辅助：

嘘！在这里…… 

嘘！有啊……"
"HARU_FOE_NEAR_2_0","小心点……","HARU_FOE_NEAR_2_0","机翻辅助：

小心点……

小心……"
"HARU_FOE_NEAR_3_0","希望不要被发现…… ","HARU_FOE_NEAR_3_0","机翻辅助：

希望不要被发现…… 

希望找不到…… 

请不要找到……"
"HARU_FOE_FOLLOW_END_1_0","呼……太好了…… ","HARU_FOE_FOLLOW_END_1_0","机翻辅助：

呼……太好了…… 

嗯……太好了……"
"HARU_FOE_FOLLOW_END_2_0","成功逃掉了！ ","HARU_FOE_FOLLOW_END_2_0","机翻辅助：

成功逃掉了！ 

你逃掉了！ 

跑完了呢！"
"HARU_FOE_FOLLOW_END_3_0","呵呵，是我们赢了呢。","HARU_FOE_FOLLOW_END_3_0","机翻辅助：

呵呵，是我们赢了呢。

呵呵，我们赢了。

呵呵，我赢了。"
"HARU_KANSI_REACTION_1_0","一边警戒一边前进？ ","HARU_KANSI_REACTION_1_0","机翻辅助：

一边警戒一边前进？"
"HARU_KANSI_REACTION_2_0","蹑手蹑脚……前进呢。","HARU_KANSI_REACTION_2_0","机翻辅助：

蹑手蹑脚……前进呢。

蹑手蹑脚……是啊。

跷脚、跷脚……是啊。"
"HARU_KANSI_REACTION_3_0","有点紧张呢。","HARU_KANSI_REACTION_3_0","机翻辅助：

有点紧张呢。

有点紧张。"
"HARU_DENKISAKU_REACTION__0","用来驱赶乌鸦有点太强了……吧。 ","HARU_DENKISAKU_REACTION__0","机翻辅助：

用来驱赶乌鸦有点太强了……吧。 

躲避乌鸦太强了……是吗？ 

避开乌鸦太强了吧。"
"HARU_DENKISAKU_REACTION__2_0","会有多刺痛呢……？ ","HARU_DENKISAKU_REACTION__2_0","机翻辅助：

会有多刺痛呢……？ 

会有多紧张啊……？ 

到底要打多少个倒数第一呢……？"
"HARU_DENKISAKU_REACTION__3_0","要通过的话得先关掉电…… ","HARU_DENKISAKU_REACTION__3_0","机翻辅助：

要通过的话得先关掉电…… 

要通过的话必须先关灯…… 

要想通就得先断电……"
"HARU_KYOUHU_REACTION_1_0","哇！ ","HARU_KYOUHU_REACTION_1_0","机翻辅助：

哇！"
"HARU_KYOUHU_REACTION_2_0","呀！？ ","HARU_KYOUHU_REACTION_2_0","机翻辅助：

呀！？ 

啊！？"
"HARU_KYOUHU_REACTION_3_0","有风！？ ","HARU_KYOUHU_REACTION_3_0","机翻辅助：

有风！？ 

风！？"
"HARU_STAIR_FIND_1_0","啊！有路！ ","HARU_STAIR_FIND_1_0","机翻辅助：

啊！有路！ 

啊！有条路！"
"HARU_STAIR_FIND_2_0","太好了，可以前进了！ ","HARU_STAIR_FIND_2_0","机翻辅助：

太好了，可以前进了！ 

太好了，我先走了！ 

太好了，继续吧！"
"HARU_STAIR_FIND_3_0","接下来会是什么样的地方呢？ ","HARU_STAIR_FIND_3_0","机翻辅助：

接下来会是什么样的地方呢？ 

下一个是什么样的地方呢？ 

接下来是什么样的地方呢？"
"HARU_TREASURE_FIND_1_0","有宝物哦！ ","HARU_TREASURE_FIND_1_0","机翻辅助：

有宝物哦！ 

有宝贝哦！"
"HARU_TREASURE_FIND_2_0","是宝箱呢，打开看看吧？ ","HARU_TREASURE_FIND_2_0","机翻辅助：

是宝箱呢，打开看看吧？ 

宝箱呢，要不要看看？ 

宝箱啊，要看看吗？"
"HARU_TREASURE_FIND_3_0","那个是宝物吗？ ","HARU_TREASURE_FIND_3_0","机翻辅助：

那个是宝物吗？ 

那里的，是宝贝吗？ 

在那里，是宝物吗？"
"HARU_CHECK_WALL_1_0","嗯……好可疑啊…… ","HARU_CHECK_WALL_1_0","机翻辅助：

嗯……好可疑啊…… 

嗯……好奇怪啊……"
"HARU_CHECK_WALL_2_0","要不要调查一下这边？ ","HARU_CHECK_WALL_2_0","机翻辅助：

要不要调查一下这边？ 

这附近要不要查一下？ 

要不要调查一下这附近？"
"HARU_CHECK_WALL_3_0","我说，那个是什么啊……？ ","HARU_CHECK_WALL_3_0","机翻辅助：

我说，那个是什么啊……？ 

喂，那是什么……？ 

喂，那是什么？？"
"HARU_SWITCH_FIND_1_0","咦？有开关呢。","HARU_SWITCH_FIND_1_0","机翻辅助：

咦？有开关呢。

咦？有开关啊。

咦？有开关。"
"HARU_SWITCH_FIND_2_0","要按按看吗？ ","HARU_SWITCH_FIND_2_0","机翻辅助：

要按按看吗？ 

试着按下开关？ 

按下开关试试？"
"HARU_SWITCH_FIND_3_0","找到开关了哦。","HARU_SWITCH_FIND_3_0","机翻辅助：

找到开关了哦。

我找到开关了。"
"HARU_SHORTCUT_FIND_1_0","好像可以抄近路呢。","HARU_SHORTCUT_FIND_1_0","机翻辅助：

好像可以抄近路呢。

好像可以剪短发呢。

好像可以用快捷方式。"
"HARU_SHORTCUT_FIND_2_0","啊，这不是可以走的捷径吗？ ","HARU_SHORTCUT_FIND_2_0","机翻辅助：

啊，这不是可以走的捷径吗？ 

啊，这不是能用的近道吗？ 

啊，这不是可以使用的近道吗？"
"HARU_SHORTCUT_FIND_3_0","好像找到了近路。","HARU_SHORTCUT_FIND_3_0","机翻辅助：

好像找到了近路。

也许找到了近道。

也许找到了捷径。"
"HARU_FOE_WARNING_NEAR_1_0","还没放弃吗！？ ","HARU_FOE_WARNING_NEAR_1_0","机翻辅助：

还没放弃吗！？ 

你还没放弃吗？？"
"HARU_FOE_WARNING_NEAR_2_0","还在追着我们！ ","HARU_FOE_WARNING_NEAR_2_0","机翻辅助：

还在追着我们！ 

还在追！"
"HARU_FOE_WARNING_NEAR_3_0","不会这么简单就放弃吧…… ","HARU_FOE_WARNING_NEAR_3_0","机翻辅助：

不会这么简单就放弃吧…… 

不能轻易放弃吗…… 

能简单地放弃吗……"
"HARU_1PERSON_HPTP10_1_0","能不能拜托它恢复呢？ ","HARU_1PERSON_HPTP10_1_0","机翻辅助：

能不能拜托它恢复呢？ 

回复，拜托了吗？ 

能拜托你回复吗？"
"HARU_1PERSON_HPTP10_2_0","我说，可以休息吗……？ ","HARU_1PERSON_HPTP10_2_0","机翻辅助：

我说，可以休息吗……？ 

喂，可以休息吗……？ 

喂，可以休息了……？"
