"source","target","id","developer_comments"
"MSG_CMM_POEM_01_00_0","“非人类的存在”","MSG_CMM_POEM_01_00_0",""
"MSG_CMM_POEM_01_00_1","ピンチがチャンス！[F5 C1 05 01 01 01 01 01 02 01]（ＭＡ・ＪＩ・ＤＡ・ＹＯ！）","MSG_CMM_POEM_01_00_1",""
"MSG_CMM_POEM_01_00_2","無理？　だからこそ挑戦！[F5 C1 05 01 01 01 01 01 10 01]（ＫＯＲＥＭＯＨＯＮＴＯ！）","MSG_CMM_POEM_01_00_2",""
"MSG_CMM_POEM_01_00_3","远虑？为了什么？为谁？","MSG_CMM_POEM_01_00_3",""
"MSG_CMM_POEM_01_00_4","やっておしまいッ！　やらなきゃおしまいッ！[F5 C1 05 01 01 01 01 01 02 01]
（ＹＡＲＯＵＤＯＭＯ～！）","MSG_CMM_POEM_01_00_4",""
"MSG_CMM_POEM_01_01_0","でもね・・・[F5 C1 05 01 01 01 01 01 29 01]
　[F5 C1 05 01 01 01 01 01 00 00]
からだ、だいじ。だから。","MSG_CMM_POEM_01_01_0",""
"MSG_CMM_POEM_01_01_1","ね？[F5 C1 05 01 01 01 01 01 3D 01]（ＳＵ・ＫＩ・ＤＡ・ＹＯ）","MSG_CMM_POEM_01_01_1",""
"MSG_CMM_POEM_02_00_0","废犬们的摇篮曲","MSG_CMM_POEM_02_00_0",""
"MSG_CMM_POEM_02_00_1","アンタはバカな犬[F5 C1 05 01 01 01 01 01 29 01]
　[F5 C1 05 01 01 01 01 01 00 00]
ホントの主人を知りもしないで[F5 C1 05 01 01 01 01 01 0B 01]
　[F5 C1 05 01 01 01 01 01 00 00]
しっぽをちぎれるほど振っている","MSG_CMM_POEM_02_00_1",""
"MSG_CMM_POEM_02_01_0","アタシはバカな犬[F5 C1 05 01 01 01 01 01 29 01]
　[F5 C1 05 01 01 01 01 01 00 00]
いもしないのが分かってて[F5 C1 05 01 01 01 01 01 0B 01]
　[F5 C1 05 01 01 01 01 01 00 00]
ホントの主人をさがしてる","MSG_CMM_POEM_02_01_0",""
"MSG_CMM_POEM_02_02_0","ほんまにこの世は　[F5 C1 05 01 01 01 01 01 24 01]ふさふさ天国・・・","MSG_CMM_POEM_02_02_0",""
"MSG_CMM_POEM_03_00_0","血色新娘","MSG_CMM_POEM_03_00_0",""
"MSG_CMM_POEM_03_00_1","アンタに似合いの女？[F5 C1 05 01 01 01 01 01 1A 01]
ばか言わないで（嗤）[F5 C1 05 01 01 01 01 01 22 01]
　[F5 C1 05 01 01 01 01 01 00 00]
このベールは　[F5 C1 05 01 01 01 01 01 0B 01]誰にも剥がさせない！","MSG_CMM_POEM_03_00_1",""
"MSG_CMM_POEM_03_01_0","タトエ　[F5 C1 05 01 01 01 01 01 27 01]コノ身ヲ捧ゲテモ…[F5 C1 05 01 01 01 01 01 24 01]
　[F5 C1 05 01 01 01 01 01 00 00]
魂ダケハ　[F5 C1 05 01 01 01 01 01 15 01]売リ渡サナイ…","MSG_CMM_POEM_03_01_0",""
"MSG_CMM_POEM_03_02_0","カン違いしないでよ　[F5 C1 05 01 01 01 01 01 10 01]これは契約[F5 C1 05 01 01 01 01 01 1D 01]
私は運命に翻弄された　[F5 C1 05 01 01 01 01 01 17 01]呪われた花嫁","MSG_CMM_POEM_03_02_0",""
"MSG_CMM_POEM_03_02_1","アンタに永遠を[F5 C1 05 01 01 01 01 01 1A 01]
呪いの[F5 C1 15 01 01 01 01 01 05 01]刻印[F5 C1 15 01 01 01 01 01 05 01]を","MSG_CMM_POEM_03_02_1",""
"MSG_CMM_POEM_03_02_2","Ｉｔ”ｓ　　[F5 C1 05 01 01 01 01 01 15 01]Ｇｕｉｌｔｙ　Ｋｉｓｓ…","MSG_CMM_POEM_03_02_2",""
"MSG_CMM_POEM_04_00_0","惊讶的生日","MSG_CMM_POEM_04_00_0",""
"MSG_CMM_POEM_04_00_1","大好きなキミが生まれた[F5 C1 05 01 01 01 01 01 0D 01]
スペシャル・デイ","MSG_CMM_POEM_04_00_1",""
"MSG_CMM_POEM_04_00_2","香槟和草莓蛋糕。","MSG_CMM_POEM_04_00_2",""
"MSG_CMM_POEM_04_00_3","…ねえ、気づいた？[F5 C1 05 01 01 01 01 01 15 01]
私の愛情も入れといた","MSG_CMM_POEM_04_00_3",""
"MSG_CMM_POEM_04_00_4","ちょっぴり　ちょっぴりね！[F5 C1 05 01 01 01 01 01 1A 01]（ＳＨＩ・[F5 C1 05 01 01 01 01 01 06 01]ＧＥ・[F5 C1 05 01 01 01 01 01 06 01]ＫＩ・[F5 C1 05 01 01 01 01 01 06 01]ＴＥ・[F5 C1 05 01 01 01 01 01 06 01]ＫＩ）","MSG_CMM_POEM_04_00_4",""
