"source","target","id","developer_comments"
"VELVET_TALK_GREET_TWINS__0","好好地来了啊，囚犯！","VELVET_TALK_GREET_TWINS__0",""
"VELVET_TALK_GREET_TWINS__2_0","似乎又没受到教训地来了啊！","VELVET_TALK_GREET_TWINS__2_0",""
"VELVET_TALK_GREET_TWINS__3_0","你来得很频繁啊。","VELVET_TALK_GREET_TWINS__3_0",""
"VELVET_OUT_TWINS_0_0","再来吧，囚犯。","VELVET_OUT_TWINS_0_0",""
"VELVET_OUT_TWINS_1_0","好好努力吧。","VELVET_OUT_TWINS_1_0",""
"VELVET_OUT_TWINS_2_0","不要辜负我们的期望，囚犯！","VELVET_OUT_TWINS_2_0",""
"SEL_VELVET_BATTLE_BEFORE_0","巧妙地完成","SEL_VELVET_BATTLE_BEFORE_0",""
"SEL_VELVET_BATTLE_BEFORE_1","稍等一下。","SEL_VELVET_BATTLE_BEFORE_1",""
"MARIE_SEL_1ST_1","这次吧","MARIE_SEL_1ST_1",""
"MARIE_SEL_1","确认社交属性","MARIE_SEL_1",""
"MARIE_SEL_2","果然还是算了。","MARIE_SEL_2",""
"MARIE_AFTERMAX_SEL_1","确认社交属性","MARIE_AFTERMAX_SEL_1",""
"MARIE_AFTERMAX_SEL_2","果然还是算了。","MARIE_AFTERMAX_SEL_2",""
"SEL_MARIE_D_CLEAR_00_1","那是一场事故。","SEL_MARIE_D_CLEAR_00_1",""
"SEL_MARIE_D_CLEAR_00_2","想看。","SEL_MARIE_D_CLEAR_00_2",""
"SEL_MARIE_HAJIKI_SISSOU__1","再见吗？","SEL_MARIE_HAJIKI_SISSOU__1",""
"SEL_MARIE_0103_1","果然拒绝。","SEL_MARIE_0103_1",""
"book_bonus001_01_0","在“人格面具”
电影中好像登记了相当数量的人格面具。","book_bonus001_01_0",""
"book_bonus001_01_1","庆祝囚犯的改过自新之举，
给予些微的奖励。","book_bonus001_01_1",""
"book_bonus001_02_0","从个人账户中提取的金额将享受10%的折扣！
","book_bonus001_02_0",""
"book_bonus001_03_0","让我们从以后的个人电影中提取的金额中扣除一部分。
","book_bonus001_03_0",""
"book_bonus001_03_1","今后如果能增加人格面具的注册数量，
就必须回应这种努力。","book_bonus001_03_1",""
"book_bonus001_03_2","更加努力。","book_bonus001_03_2",""
"book_bonus002_01_0","你创造的人格面具似乎比以前更多了。
","book_bonus002_01_0",""
"book_bonus002_01_1","那么就像约定的那样，
让我们给你奖赏吧！","book_bonus002_01_1",""
"book_bonus002_02_0","从个人账户中提取的金额将享受15%的折扣！
","book_bonus002_02_0",""
"book_bonus002_03_0","从未来的个人电影中，
我成功地进一步减少了提款金额！","book_bonus002_03_0",""
"book_bonus002_03_1","话虽如此，
看来还有许多我不知道的人格存在着呢……","book_bonus002_03_1",""
"book_bonus002_03_2","我们也对你会诞生出怎样的人格面具感到兴趣。
","book_bonus002_03_2",""
"book_bonus002_03_3","期待你未来的工作表现，
我会准备好奖励等着你！","book_bonus002_03_3",""
"book_bonus003_01_0","如果你留意的话，
会发现相当数量的人格面具似乎是从你那里诞生的呢……","book_bonus003_01_0",""
"book_bonus003_01_1","所有的人格都被登记的那一天或许并不那么遥远吧……
","book_bonus003_01_1",""
"book_bonus003_01_2","啊，我完全忘记了。
我把这个交给你。","book_bonus003_01_2",""
"book_bonus003_02_0","从人格面具 Film取款的金额现在可以打八折了！
","book_bonus003_02_0",""
"book_bonus003_03_0","离“人格面具”
电影完成只剩一点儿时间了，你最好好好利用一下。","book_bonus003_03_0",""
"book_bonus003_03_1","这个世界上存在的所有人格，
都是由...产生的。","book_bonus003_03_1",""
"book_bonus003_03_2","你或许能做到这件事情呢。
我期待着那一天的到来……","book_bonus003_03_2",""
"book_bonus004_01_0","你竟然有这么强大的能力……
","book_bonus004_01_0",""
