"source","target","id","developer_comments"
"myth_001_0","日本神话中的国土
在诞生之前就已留名
的原始神之一。
从混沌中创造出大八岛
国，在那里生下许多子女
，被视为大地与自然的基
石。","myth_001_0","机翻辅助：

日本神话中的国土
在诞生之前就已留名
的原始神之一。
从混沌中创造出大八岛
国，在那里生下许多子女
，被视为大地与自然的基
石。

在日本神话中，国土是诞生前一代就被记载下来的原始神之一。据说，他从混沌中创造了大八岛，并在那里生育了许多孩子，成为大地和自然的基石。







在日本神话中，国土是在诞生前的时代被记载名字的原始神的一柱。
从混沌中建造了大八岛，在那里生了很多孩子，形成了大地和自然的基础。"
"myth_002_0","拥有粘液状身体的原始
型怪物。起源众说纷纭
，尚无定论。
一般认为有收集发光物
品的习性。","myth_002_0","机翻辅助：

拥有粘液状身体的原始
型怪物。起源众说纷纭
，尚无定论。
一般认为有收集发光物
品的习性。

具有粘液状身体的原始怪物。起源众说纷纭不明。
一般认为有收集发光的东西的习性。




拥有黏液状身体的原始怪物。起源有各种说法
但不清楚。
一般被认为有收集发光的东西的习性。"
"myth_003_0","日本神话中的艺能女神。
掌管镇魂与神谕等各种
神乐舞。
在呼唤躲在岩户
里的天照大神时，
她名副其实地牺牲色
相的轶闻相当有名。
后来成为素盏鸣尊的妻子。
","myth_003_0","机翻辅助：

日本神话中的艺能女神。
掌管镇魂与神谕等各种
神乐舞。
在呼唤躲在岩户
里的天照大神时，
她名副其实地牺牲色
相的轶闻相当有名。
后来成为素盏鸣尊的妻子。


日本神话中的演艺女神。
掌管安魂、神谕等多种
神乐舞。
把关在岩户的阿玛
特拉斯叫回来的时候，正如字面意思一样一丝不苟的埃皮
索德很有名。
后来成为了萨塔希科的妻子。



日本神话中的演艺女神。掌管镇魂和神谕等许多神乐舞。
把关在岩门里的天妇罗拉回来的时候，正如字面意思脱下了一刀
剑很有名。
后来成为萨尔塔彦的妻子。"
"myth_004_0","圣经·马可福音中
记载为“我众多”的恶
灵大军。
原本的名字是当时
罗马帝国的军队用
语，意指五千人规
模的兵团。
","myth_004_0","机翻辅助：

圣经·马可福音中
记载为“我众多”的恶
灵大军。
原本的名字是当时
罗马帝国的军队用
语，意指五千人规
模的兵团。


“圣经·马可福音”中记载的“我，多数”的恶灵大群。
原来名字的由来是在当时的罗马使用的
军队用语中，是指5000人规
模仿兵团的“连队”
的意思。




“圣经·马可福音”中记载的恶灵大群。
原来的名字的由来是当时在罗马使用的军队用语，是指5000人规模的兵团的“连队”的意思。"
"myth_005_0","所罗门王的72柱魔神
之一。
半兽半人的恶魔。
能将召唤者变成如
其所愿的模样，
但据说力量只能持
续短暂的时间。","myth_005_0","机翻辅助：

所罗门王的72柱魔神
之一。
半兽半人的恶魔。
能将召唤者变成如
其所愿的模样，
但据说力量只能持
续短暂的时间。

所罗门王的72尊魔神之一。
半兽半人的恶魔。
召唤的人可以按照自己的意愿变成
的样子
但其力量只能持续很短的时间
。


所罗门王的72尊魔神之一。
半兽半人形态的恶魔。
召唤出来的人可以按照自己的愿望变成
的样子，但是那个力量只能持续很短的时间。"
"myth_006_0","强烈追求邪恶的杰克
· Frost。
即使天生是留下
“在恐怖之中也带有可爱”
印象的妖精杰克
· Frost，也不忘锻炼身为恶魔
的能耐之人，将会变化为
拥有魔王级力量的个体。
","myth_006_0","机翻辅助：

强烈追求邪恶的杰克
· Frost。
即使天生是留下
“在恐怖之中也带有可爱”
印象的妖精杰克
· Frost，也不忘锻炼身为恶魔
的能耐之人，将会变化为
拥有魔王级力量的个体。


强烈追求邪恶的杰克弗罗斯特。
在恐怖中也会留下可爱的妖精杰克夫
出生于罗斯特
但没有忘记作为恶魔的锻炼
的人
拥有这个魔王级的力量
变成了个体。



强烈追求邪恶的扎克弗洛斯特。在恐怖中也留下可爱
的妖精杰克夫
虽然出生在失落的世界，但没有忘记作为恶魔的锻炼
的人，会变成拥有这个魔王级力量的
个体。"
"myth_007_0","所罗门王的72柱魔神
之一。有着五芒星外型的
奇妙恶魔。熟知鸟类与宝石
，据说其使魔也呈现鸟
的外型。据说其使魔也呈现鸟
的外型。
","myth_007_0","机翻辅助：

所罗门王的72柱魔神
之一。有着五芒星外型的
奇妙恶魔。熟知鸟类与宝石
，据说其使魔也呈现鸟
的外型。据说其使魔也呈现鸟
的外型。


所罗门王的72尊魔神之一。
出现了五芒星图的奇怪恶魔。他对鸟和宝石非常熟悉，据说随从的使魔也是鸟的姿态。






所罗门王的72尊魔神之一。
有着五芒星图形状的
奇妙的恶魔。熟知鸟和宝石
，从的使魔也是鸟的形象
。"
"myth_008_0","在阴阳道部分流派中使
役的强力式神。
虽然能用来为害或驱
除病魔，但据说其本性
为鬼神，十分凶猛。
","myth_008_0","机翻辅助：

在阴阳道部分流派中使
役的强力式神。
虽然能用来为害或驱
除病魔，但据说其本性
为鬼神，十分凶猛。


在阴阳道的一部分流派中被使用的强有力的式神。
虽然也被用于加害和驱除病魔，但据说本来的脾气是鬼神，很凶猛。





阴阳道的一部分流派中使用的强力式神。
既可以用来加害，也可以用来驱除病魔，但据说本来的性情是鬼神，凶猛。"
"myth_009_0","北欧神话的恶神。虽然不
是只有邪恶的神，
但个性反复无常，又
擅长耍小聪明。虽然曾
一度与主神奥丁缔结义
兄弟之约，却因为犯下
杀害其子巴德尔等恶
行而受到责难，最后
受到惩罚。","myth_009_0","机翻辅助：

北欧神话的恶神。虽然不
是只有邪恶的神，
但个性反复无常，又
擅长耍小聪明。虽然曾
一度与主神奥丁缔结义
兄弟之约，却因为犯下
杀害其子巴德尔等恶
行而受到责难，最后
受到惩罚。

北欧神话中的恶神。虽然不只是邪恶的神，但却反复无常地长于坏主意。虽然曾与主神奥丁结为兄弟，但因杀害其子巴尔•多尔等诸多恶行受到了谴责，最终受到了惩罚。









北欧神话中的恶神。虽然他并不是邪恶的神，但他喜怒无常，善于耍花招。他曾一度与主神奥丁结拜为兄弟，但因杀害其子瓦尔德尔等诸多恶行而受到谴责，最终受到了惩罚。"
"myth_010_0","由犹太系魔术师使役，
没有实体的使魔总称。
被封在壶或瓶子里。
据说会听从魔术师
的命令，折磨目标人物。


","myth_010_0","机翻辅助：

由犹太系魔术师使役，
没有实体的使魔总称。
被封在壶或瓶子里。
据说会听从魔术师
的命令，折磨目标人物。




被犹太系的魔术师
使役，实体的
没有的使魔的总称。
被封在穴位或瓶子里。
据说，按照魔术师的命令，对对象人物进行折磨。




被犹太魔术师奴役的实体的使魔的总称。
被封在壶或瓶里。根据魔术师的命令，折磨对方。"
"myth_011_0","所罗门王的72柱魔神
之一。以马的姿态现身，
据说能回答召唤者
关于过去、现在、未来
的任何问题。也被称为
魔术师的协助者。

","myth_011_0","机翻辅助：

所罗门王的72柱魔神
之一。以马的姿态现身，
据说能回答召唤者
关于过去、现在、未来
的任何问题。也被称为
魔术师的协助者。



所罗门王的72尊魔神之一。
以马的姿态出现，召唤者的提问可以回答过去、现在、未来、任何一个。被称为魔术师的合作者。







所罗门王的72尊魔神之一。以马的姿态出现，对传唤者提出的问题，无论是过去、现在还是未来，都会回答。
被称为魔术师的帮手。"
"myth_012_0","在英格兰的传说中，
冬天与霜的妖精
基本上是个没有恶意的
存在，但要是惹怒了
她，就会被她冻成冰块
，最后惨遭杀害，是个
可怕的妖精。","myth_012_0","机翻辅助：

在英格兰的传说中，
冬天与霜的妖精
基本上是个没有恶意的
存在，但要是惹怒了
她，就会被她冻成冰块
，最后惨遭杀害，是个
可怕的妖精。

英格兰传说中的冬霜精灵。
基本上是没有邪气的
存在，不过，也有惹怒的话
把对方浸在冰里，
杀了的可怕的
的一面。


冬天和霜冻的妖精传到英格兰。
基本上没有邪气
虽然是存在，但如果让对方生气的话
会把对方冻成冰，
杀死对方的可怕
也有一面。"
