"source","target","id","developer_comments"
"id_0_0_0","バトルで獲得できるお金が１０％増える
[F2 01 03 01]【NextLv：獲得できるお金が増える】","id_0_0_0",""
"id_0_1_0","バトルで獲得できるお金が２０％増える
[F2 01 03 01]【NextLv：獲得できるお金が増える】","id_0_1_0",""
"id_0_2_0","バトルで獲得できるお金が３０％増える
[F2 01 03 01]【NextLv：獲得できるお金が増える】","id_0_2_0",""
"id_0_3_0","バトルで獲得できるお金が４０％増える
[F2 01 03 01]【NextLv：獲得できるお金が増える】","id_0_3_0",""
"id_0_4_0","战斗中获得的金钱增加50%。","id_0_4_0",""
"id_0_0_0_0","【No05】をLv3にする[F2 01 01 01]
バトルで獲得できるお金が１０％増える","id_0_0_0_0",""
"id_0_0_1_0","unlock済み。LvUPさせて効果を有効化して下さい[F2 01 01 01]
バトルで獲得できるお金が１０％増える","id_0_0_1_0",""
"id_1_0_0","バトルで獲得できる経験値が１０％増える
[F2 01 03 01]【NextLv：獲得できる経験値が増える】","id_1_0_0",""
"id_1_1_0","バトルで獲得できる経験値が２０％増える
[F2 01 03 01]【NextLv：獲得できる経験値が増える】","id_1_1_0",""
"id_1_2_0","バトルで獲得できる経験値が３０％増える
[F2 01 03 01]【NextLv：獲得できる経験値が増える】","id_1_2_0",""
"id_1_3_0","バトルで獲得できる経験値が４０％増える
[F2 01 03 01]【NextLv：獲得できる経験値が増える】","id_1_3_0",""
"id_1_4_0","战斗中获得的经验值增加50%。","id_1_4_0",""
"id_1_0_0_0","【No06】をLv4にする[F2 01 01 01]
バトルで獲得できる経験値が１０％増える","id_1_0_0_0",""
"id_1_0_1_0","unlock済み。LvUPさせて効果を有効化して下さい[F2 01 01 01]
バトルで獲得できる経験値が１０％増える","id_1_0_1_0",""
"id_2_0_0","先制攻撃の発生確率が１０％増える
[F2 01 03 01]【NextLv：先制攻撃の発生確率が増える】","id_2_0_0",""
"id_2_1_0","先制攻撃の発生確率が２０％増える
[F2 01 03 01]【NextLv：先制攻撃の発生確率が増える】","id_2_1_0",""
"id_2_2_0","先制攻撃の発生確率が３０％増える
[F2 01 03 01]【NextLv：先制攻撃の発生確率が増える】","id_2_2_0",""
"id_2_3_0","先制攻撃の発生確率が４０％増える
[F2 01 03 01]【NextLv：先制攻撃の発生確率が増える】","id_2_3_0",""
"id_2_4_0","先制攻击的发生概率增加了50%。","id_2_4_0",""
"id_2_0_0_0","【No14】をLv1にする[F2 01 01 01]
先制攻撃の発生確率が１０％増える","id_2_0_0_0",""
