"source","target","id","developer_comments"
"NOFFICE_HELLO_ELIZABETH__0","您需要哪一种票？","NOFFICE_HELLO_ELIZABETH__0","机翻辅助：

您要购买哪一边的票券呢？

您想要哪张票呢？

您要哪种票？"
"NOFFICE_HELLO_ELIZABETH__2_0","让您久等了。","NOFFICE_HELLO_ELIZABETH__2_0","机翻辅助：

恭候多时。

一直在等您。

恭候您的光临。"
"NOFFICE_HELLO_ELIZABETH__3_0","欢迎光临，这里是售票处。","NOFFICE_HELLO_ELIZABETH__3_0","机翻辅助：

欢迎来到售票处。

欢迎光临售票处。"
"NOFFICE_EXP_ELIZABETH_0","是什么呢？","NOFFICE_EXP_ELIZABETH_0","机翻辅助：

有什么事吗？

是什么呢？

您要什么？"
"NOFFICE_OUT_ELIZABETH_NU_0","非常感谢您的使用。","NOFFICE_OUT_ELIZABETH_NU_0","机翻辅助：

谢谢您的使用。

感谢您的使用。"
"NOFFICE_OUT_ELIZABETH_NU_2_0","期待您的再次光临。","NOFFICE_OUT_ELIZABETH_NU_2_0","机翻辅助：

期待各位再次光临。

期待您的再次使用。

等待您的再次使用。"
"NOFFICE_OUT_ELIZABETH_NU_3_0","那么再见。","NOFFICE_OUT_ELIZABETH_NU_3_0","机翻辅助：

那么，再会。

那么再见。"
"NOFFICE_ACCEPT_OUT_ELIZA_0","欢迎光临。","NOFFICE_ACCEPT_OUT_ELIZA_0","机翻辅助：

祝您一路顺风。

路上小心。

一路顺风。"
"NOFFICE_ACCEPT_OUT_ELIZA_2_0","请小心。","NOFFICE_ACCEPT_OUT_ELIZA_2_0","机翻辅助：

请小心。

路上小心。"
"NOFFICE_ACCEPT_OUT_ELIZA_3_0","祝大家旗开得胜。","NOFFICE_ACCEPT_OUT_ELIZA_3_0","机翻辅助：

祝各位好运。

祝大家奋斗到底。

祈祷大家的奋斗。"
"BBOARD_BATTLE_BEFORE_THE_0","战斗前的西奥多","BBOARD_BATTLE_BEFORE_THE_0","机翻辅助：

西奥多战前

西奥多战役前

西奥多战斗前"
"BBOARD_BATTLE_BEFORE_MAR_0","玛格丽特战斗前","BBOARD_BATTLE_BEFORE_MAR_0","机翻辅助：

玛格丽特战前

玛格丽特战斗前

玛格丽特战役前"
"BBOARD_BATTLE_BEFORE_TWI_0","双子战斗前","BBOARD_BATTLE_BEFORE_TWI_0","机翻辅助：

双胞胎战前

双子战斗前

双胞胎战役前"
"BBOARD_BATTLE_BEFORE_ELI_0","伊莉莎白战斗前","BBOARD_BATTLE_BEFORE_ELI_0","机翻辅助：

伊莉莎白战前

伊莉莎白战斗前

伊莉莎白战役前"
"BBOARD_BATTLE_BEFORE_ALL_0","五个全员战斗前","BBOARD_BATTLE_BEFORE_ALL_0","机翻辅助：

五人全员战前

五人全员战斗前

五个人都在战斗前"
"SEL_BBOARD_BATTLE_BEFORE_0","完美","SEL_BBOARD_BATTLE_BEFORE_0","机翻辅助：

很完美

很棒

很好"
"SEL_BBOARD_BATTLE_BEFORE_1","稍等","SEL_BBOARD_BATTLE_BEFORE_1","机翻辅助：

稍等一下"
"speaker_エリザベス","伊莉莎白","speaker_エリザベス","翻译匹配：PQ2"
"speaker_テオドア","西奥多","speaker_テオドア","翻译匹配：PQ2"
"speaker_マーガレット","玛格丽特","speaker_マーガレット","翻译匹配：PQ2"
"speaker_双子","双胞胎","speaker_双子","机翻辅助：

双胞胎

双子"
