"source","target","id","developer_comments"
"text_000_0","重新设定已变更的设定","text_000_0","机翻辅助：

重新设定已变更的设定

激活配置中更改的设置并返回

然后返回，激活你更改的设置。"
"text_001_0","变更BGM音量","text_001_0","机翻辅助：

变更BGM音量

更改背景音乐的音量

改变背景音乐的音量。"
"text_002_0","变更SE音量","text_002_0","机翻辅助：

变更SE音量

更改SE的音量

改变SE的音量。"
"text_003_0","变更语音音量","text_003_0","机翻辅助：

变更语音音量

更改声音的音量

改变声音的音量。"
"text_004_0","配合语音自动送行","text_004_0","机翻辅助：

配合语音自动送行

根据声音自动发送文章

它会根据声音自动发送文章。"
"text_005_0","记忆战斗时选择的光标位置","text_005_0","机翻辅助：

记忆战斗时选择的光标位置

记住战斗时选择的光标位置

记住你在战斗时所选择的光标位置。"
"text_006_0","上下操作镜头时颠倒","text_006_0","机翻辅助：

上下操作镜头时颠倒

颠倒相机的上下操作

相反的上下操作相机。"
"text_007_0","左右操作镜头时颠倒","text_007_0","机翻辅助：

左右操作镜头时颠倒

反过来左右操作相机。

颠倒相机的左右操作"
"text_008_0","配合移动自动在地图上画出墙壁","text_008_0","机翻辅助：

配合移动自动在地图上画出墙壁

在地图上自动绘制墙壁

随着移动，在地图上自动画上墙壁"
"text_009_0","在地图上显示现在位置附近的墙壁导览","text_009_0","机翻辅助：

在地图上显示现在位置附近的墙壁导览

在地图上显示你所在位置附近的墙壁。

在地图上显示当前位置附近墙壁的向导"
"text_010_0","战斗结束后，将队列恢复为战斗前的状态","text_010_0","机翻辅助：

战斗结束后，将队列恢复为战斗前的状态

战斗结束后，队伍回到战斗前的状态

战斗结束后，将队伍恢复到战斗前的状态。"
"text_011_0","变更默认状态的移动方式","text_011_0","机翻辅助：

变更默认状态的移动方式

更改默认状态下的移动方式

改变默认状态下的出行方式。"
"text_012_0","变更战斗速度","text_012_0","机翻辅助：

变更战斗速度

改变战斗速度

改变战斗速度。"
"text_013_0","变更难易度","text_013_0","机翻辅助：

变更难易度

改变难度。

更改难度"
"text_014_0","删除存档","text_014_0","机翻辅助：

删除存档

删除存储数据。

删除保存数据"
