"source","target","id","developer_comments"
"accessory_A01_0","戴在脚踝上就能让全身充满力量的饰品
效果：[颜色 04]力量＋1[颜色 01]","accessory_A01_0","机翻辅助：

戴在脚踝上就能让全身充满力量的饰品
效果：[颜色 04]力量＋1[颜色 01]

戴在脚踝上，全身都充满力量的装饰品
效果：[颜色 04]力量+ 1[颜色 01]

效果：
力量+1[颜色 04][颜色 01]"
"accessory_A02_0","能感受到异样法则之力的异国护身符
效果：[颜色 04]魔＋1[颜色 01]","accessory_A02_0","机翻辅助：

能感受到异样法则之力的异国护身符
效果：[颜色 04]魔＋1[颜色 01]

感受不同理力的异国护身符
效果：[颜色 04]魔+ 1[颜色 01]

感受到不同道理力量的异国护身符效果：
魔+1[颜色 04][颜色 01]"
"accessory_A03_0","绑紧就能让心灵也跟着坚强的皮带
效果：[颜色 04]耐＋1[颜色 01]","accessory_A03_0","机翻辅助：

绑紧就能让心灵也跟着坚强的皮带
效果：[颜色 04]耐＋1[颜色 01]

用勒紧的事忍耐的心也勒紧的皮带
效果：[颜色 04]耐+1[颜色 01]

收紧的事忍耐的心也收紧的腰带
效果：[颜色 04]耐+ 1[颜色 01]"
"accessory_A04_0","某国陆军爱用的能增加步伐的袜子
效果：[颜色 04]速＋1[颜色 01]","accessory_A04_0","机翻辅助：

某国陆军爱用的能增加步伐的袜子
效果：[颜色 04]速＋1[颜色 01]

某国陆军爱用的步幅伸长的袜子
效果：[颜色 04]速+1[颜色 01]

某国陆军爱用的能拉长步幅的袜子
效果：[颜色 04]速+ 1[颜色 01]"
"accessory_A05_0","大大写着LUCKY的装饰品
效果：[颜色 04]运＋1[颜色 01]","accessory_A05_0","机翻辅助：

大大写着LUCKY的装饰品
效果：[颜色 04]运＋1[颜色 01]

大LUCKY的文字做成的装饰品
效果：[颜色 04]运+1[颜色 01]

用大大的LUCKY字母做成的装饰品
效果：[颜色 04]运气+ 1[颜色 01]"
"accessory_A06_0","能让人涌现活力的奇妙小木雕
效果：[颜色 04]最大HP5％增加[颜色 01]","accessory_A06_0","机翻辅助：

能让人涌现活力的奇妙小木雕
效果：[颜色 04]最大HP5％增加[颜色 01]

活力涌现的不可思议的小木头雕刻品
效果：[颜色 04]最大生命值提高5%[颜色 01]

神奇的小木雕效果：
[颜色 04][颜色 01]活力：提高5%"
"accessory_A07_0","能让精神常保安定的香包
效果：[颜色 04]最大SP5％增加[颜色 01]","accessory_A07_0","机翻辅助：

能让精神常保安定的香包
效果：[颜色 04]最大SP5％增加[颜色 01]

经常感觉精神安定的气味袋
效果：[颜色 04]最大SP5%上升[颜色 01]

感觉精神经常安定的气味袋
效果：[颜色 04]最大SP提高5%[颜色 01]"
"accessory_A08_0","穿戴者一睡着就会响起的闹钟
效果：[颜色 04]提升“睡眠”异常状态抗性[颜色 01]","accessory_A08_0","机翻辅助：

穿戴者一睡着就会响起的闹钟
效果：[颜色 04]提升“睡眠”异常状态抗性[颜色 01]

戴在身上的人睡着的瞬间就会响起的时钟
效果：[颜色 04]状态异常“睡眠”耐性提高[颜色 01]

戴在身上的人在睡觉的瞬间响起的时钟
效果：[颜色 04]状态异常“睡眠”耐性提高[颜色 01]"
"accessory_A09_0","用软绵绵的红色绒毛布料保护头部的帽子
效果：[颜色 04]提升“混乱”异常状态抗性[颜色 01]","accessory_A09_0","机翻辅助：

用软绵绵的红色绒毛布料保护头部的帽子
效果：[颜色 04]提升“混乱”异常状态抗性[颜色 01]

用鱼翅的红色毛毡保护头部的帽子
效果：[颜色 04]状态异常“混乱”耐性提高[颜色 01]

用蓬松的红色毛毡保护头部的帽子
效果：[颜色 04]状态异常“混乱”耐性提高[颜色 01]"
"accessory_A0A_0","大自然的力量会流入体内的神奇徽章
效果：[颜色 04]最大HP＆SP提升5％[颜色 01]","accessory_A0A_0","机翻辅助：

大自然的力量会流入体内的神奇徽章
效果：[颜色 04]最大HP＆SP提升5％[颜色 01]

大自然的力量流入身体的不可思议的徽章
效果：[颜色 04]最大HP ＆ SP提高5%[颜色 01]

大自然的力量流入身体的不可思议的徽章
效果：[颜色 04]最大HP＆SP5%上升[颜色 01]"
"accessory_A0B_0","戴上后，眼前就会显示瞄准标的护目镜
效果：[颜色 04]提升命中率·中[颜色 01]","accessory_A0B_0","机翻辅助：

戴上后，眼前就会显示瞄准标的护目镜
效果：[颜色 04]提升命中率·中[颜色 01]

戴上后眼前会显示瞄准的护目镜
效果：[颜色 04]命中率上升·中[颜色 01]

戴上的话在眼前瞄准被表示的护目镜
效果：[颜色 04]命中率提高·中[颜色 01]"
"accessory_A0C_0","特别强化防御头部攻击的帽子
效果：[颜色 04]提升“封魔”异常状态抗性[颜色 01]","accessory_A0C_0","机翻辅助：

特别强化防御头部攻击的帽子
效果：[颜色 04]提升“封魔”异常状态抗性[颜色 01]

对头部的难事特别防止的帽子
效果：[颜色 04]“魔封”耐性提高[颜色 01]

特殊的帽子，以防止对头部的困难：
提高“封魔”的耐性[颜色 04][颜色 01]"
"accessory_A0D_0","随时保护手臂的特殊材质器具
效果：[颜色 04]提升“封力”异常状态抗性[颜色 01]","accessory_A0D_0","机翻辅助：

随时保护手臂的特殊材质器具
效果：[颜色 04]提升“封力”异常状态抗性[颜色 01]

用经常保护手臂的特殊素材做成的器具
效果：[颜色 04]“力封”耐性提高[颜色 01]

经常用保护手臂的特殊材料做成的器具
效果：[颜色 04]提高“力封”耐性[颜色 01]"
"accessory_A0E_0","从温度到肉质都能保护脚部状态的袜子
效果：[颜色 04]提升“封速”异常状态抗性[颜色 01]","accessory_A0E_0","机翻辅助：

从温度到肉质都能保护脚部状态的袜子
效果：[颜色 04]提升“封速”异常状态抗性[颜色 01]

保护脚的状态从温度到肉质的袜子
效果：[颜色 04]“速封”耐性提高[颜色 01]

从温度到肉质都能保护脚的状态袜子
效果：[颜色 04]提高“速封”耐性[颜色 01]"
"accessory_A0F_0","防止各种毒物入侵的黑色面具
效果：[颜色 04]提升“中毒”异常状态抗性[颜色 01]","accessory_A0F_0","机翻辅助：

防止各种毒物入侵的黑色面具
效果：[颜色 04]提升“中毒”异常状态抗性[颜色 01]

防止所有毒侵入的黑口罩
效果：[颜色 04]状态异常“毒”耐性提高[颜色 01]

防止所有毒素入侵的黑色口罩
效果：[颜色 04]状态异常提高对“毒”的耐性[颜色 01]"
"accessory_A10_0","效果等同随时进行瑜珈的肩带
效果：[颜色 04]提升“麻痹”异常状态抗性[颜色 01]","accessory_A10_0","机翻辅助：

效果等同随时进行瑜珈的肩带
效果：[颜色 04]提升“麻痹”异常状态抗性[颜色 01]

经常做瑜伽有同样的效果
效果：[颜色 04]状态异常“麻痹”耐受性提高[颜色 01]

效果：
状态异常“麻痹”耐性上升[颜色 04][颜色 01]"
"accessory_A11_0","不用看着对方的眼睛也不会失礼的眼镜
效果：[颜色 04]提升“石化”异常状态抗性[颜色 01]","accessory_A11_0","机翻辅助：

不用看着对方的眼睛也不会失礼的眼镜
效果：[颜色 04]提升“石化”异常状态抗性[颜色 01]

不看对方眼睛也不会失礼的眼镜
效果：[颜色 04]状态异常“石化”耐性提高[颜色 01]

不看对方的眼睛也不会失礼的眼镜
效果：[颜色 04]状态异常“石化”耐性提高[颜色 01]"
"accessory_A12_0","记载所有生存手段的笔记
效果：[颜色 04]提升“即死”异常状态抗性[颜色 01]","accessory_A12_0","机翻辅助：

记载所有生存手段的笔记
效果：[颜色 04]提升“即死”异常状态抗性[颜色 01]

写有生存的所有手段的笔记
效果：[颜色 04]状态异常“当场死亡”耐性提高[颜色 01]

记录了生存下来的所有手段的笔记
效果：[颜色 04]状态异常“立即死亡”耐性提高[颜色 01]"
"accessory_A14_0","学会异世界盾技“防御阵形”的证明
效果：[颜色 04]提升我方一列的防御力技能[颜色 01]","accessory_A14_0","机翻辅助：

学会异世界盾技“防御阵形”的证明
效果：[颜色 04]提升我方一列的防御力技能[颜色 01]

记住异世界的盾技“防御阵形”的证
效果：[颜色 04]我方1列的防御力上升技能[颜色 01]

记住异世界的盾技“防御阵形”的证明
效果：[颜色 04]己方1列的防御力上升技能[颜色 01]"
