"source","target","id","developer_comments"
"material_700_0","将持有的材料一次性出售。","material_700_0",""
"material_701_0","液晶屏幕上出现了一个大裂缝的手机采取：电影“鸭子侠”。
","material_701_0",""
"material_702_0","采集用于制作夜景的灯光：电影“卡莫西达人”
","material_702_0",""
"material_703_0","没有任何动静的机械手表：电影“卡莫西达人”
","material_703_0",""
"material_704_0","推动背部会发声的可动式英雄人偶：电影“背中人”。
","material_704_0",""
"material_705_0","ゲル状の体を持ったシャドウの一部
討伐：臆病のマーヤ[F2 01 03 01]（第１Ｔ－１Ｆ）","material_705_0",""
"material_706_0","シャドウが砕け散る際に落とす禍々しい石
討伐：臆病のマーヤ[F2 01 03 01]（第１Ｔ－１Ｆ）","material_706_0",""
"material_707_0","岩石の形をしたシャドウの一部
討伐：我欲のバザルト[F2 01 03 01]（第１Ｔ－２Ｆ）","material_707_0",""
"material_708_0","シャドウが砕け散る際に落とす禍々しい石
討伐：我欲のバザルト[F2 01 03 01]（第１Ｔ－２Ｆ）","material_708_0",""
"material_709_0","テーブルの形をしたシャドウの一部
討伐：笑うテーブル[F2 01 03 01]（第１Ｔ－１Ｆ）","material_709_0",""
"material_70A_0","シャドウが砕け散る際に落とす禍々しい石
討伐：笑うテーブル[F2 01 03 01]（第１Ｔ－１Ｆ）","material_70A_0",""
"material_70B_0","球状で大きな口と舌を持つシャドウの欠片
討伐：虚言のアブルリー[F2 01 03 01]（第１Ｔ－１Ｆ）","material_70B_0",""
"material_70C_0","シャドウが砕け散る際に落とす禍々しい石
討伐：虚言のアブルリー[F2 01 03 01]（第１Ｔ－１Ｆ）","material_70C_0",""
"material_70D_0","十字架の形をしたシャドウの一部
討伐：炎と氷のバランサー[F2 01 03 01]（第１Ｔ－２Ｆ）","material_70D_0",""
"material_70E_0","シャドウが砕け散る際に落とす禍々しい石
討伐：炎と氷のバランサー[F2 01 03 01]（第１Ｔ－２Ｆ）","material_70E_0",""
"material_70F_0","頭上に聖典を掲げるシャドウの一部
討伐：偽りの聖典[F2 01 03 01]（第１Ｔ－２Ｆ）","material_70F_0",""
"material_710_0","シャドウが砕け散る際に落とす禍々しい石
討伐：偽りの聖典[F2 01 03 01]（第１Ｔ－２Ｆ）","material_710_0",""
"material_711_0","警察の格好をしたシャドウの一部
討伐：収賄のファズ[F2 01 03 01]（第１Ｔ－２Ｆ）","material_711_0",""
"material_712_0","シャドウが砕け散る際に落とす禍々しい石
討伐：収賄のファズ[F2 01 03 01]（第１Ｔ－２Ｆ）","material_712_0",""
"material_713_0","王様の格好をした大型シャドウの一部
討伐：ごーじゃすキング[F2 01 03 01]（第１Ｔ－３Ｆ）","material_713_0",""
"material_714_0","シャドウが砕け散る際に落とす禍々しい石
討伐：ごーじゃすキング[F2 01 03 01]（第１Ｔ－３Ｆ）","material_714_0",""
"material_715_0","正面が開く彫像の形をしたシャドウの一部
討伐：生成の彫像[F2 01 03 01]（第１Ｔ－３Ｆ）","material_715_0",""
"material_716_0","シャドウが砕け散る際に落とす禍々しい石
討伐：生成の彫像[F2 01 03 01]（第１Ｔ－３Ｆ）","material_716_0",""
"material_717_0","３つの頭が連なる石像型のシャドウの一部
討伐：狂信の塔[F2 01 03 01]（第１Ｔ－３Ｆ）","material_717_0",""
"material_718_0","シャドウが砕け散る際に落とす禍々しい石
討伐：狂信の塔[F2 01 03 01]（第１Ｔ－３Ｆ）","material_718_0",""
"material_719_0","レスラーの姿をしたシャドウの汗のついた服
討伐：闘魂のギガス[F2 01 03 01]（第１Ｔ－３Ｆ）","material_719_0",""
"material_71A_0","シャドウが砕け散る際に落とす禍々しい石
討伐：闘魂のギガス[F2 01 03 01]（第１Ｔ－３Ｆ）","material_71A_0",""
"material_71B_0","豪華な装飾がされている王冠
討伐：ごーじゃすキング[F2 01 03 01]（第１Ｔ－３Ｆ）","material_71B_0",""
"material_71D_0","部分击败装备红色装甲的坦克型影子：绯红炮座
","material_71D_0",""
"material_720_0","超级英雄胸前闪耀的象征：超级变色龙人
","material_720_0",""
"material_722_0","魔力の宿る布地を作る製法が書かれたメモ
効果：[F2 01 04 01]売却でショップ販売品が追加","material_722_0",""
"material_723_0","古代生物の力が宿る服の製法が書かれたメモ
効果：[F2 01 04 01]売却でショップ販売品が追加","material_723_0",""
"material_724_0","言葉の力が宿る服の製法が書かれたメモ
効果：[F2 01 04 01]売却でショップ販売品が追加","material_724_0",""
"material_725_0","機械による補助機能の防具を作れるメモ
効果：[F2 01 04 01]売却でショップ販売品が追加","material_725_0",""
"material_726_0","通报违抗英雄的人会得到硬币奖励：电影“卡莫西达侬”
","material_726_0",""
"material_727_0","抵抗英雄的人将获得硬币收集：电影“卡莫西达侬”
","material_727_0",""
"material_728_0","英雄主题游戏“卡莫西达侠”
中，当你为英雄提供大量支援时，你可以获得硬币。’","material_728_0",""
"material_72A_0","影子掉落的奇怪石头","material_72A_0",""
"material_72C_0","用珊瑚化石雕刻而成的古代硬币采集：电影“侏罗纪公园”。
","material_72C_0",""
"material_72D_0","用翡翠雕刻制作的古代石硬币的采集：电影“侏罗纪公园”
","material_72D_0",""
"material_72E_0","紫水晶加工制作的古代石硬币采集：电影“侏罗纪公园”
","material_72E_0",""
