"source","target","id","developer_comments"
"quest00_0","没有接任务","quest00_0","机翻辅助：

没有接任务

未接受任务

他们没有接受任务。"
"quest01_0","教室女学生的委托
带能让人安心的天使像过去","quest01_0","机翻辅助：

教室女学生的委托
带能让人安心的天使像过去

教室的女生的委托
带着能让人安心的天使像去吧

来自教室的女学生的委托
带着能让人安心的天使像去吧"
"quest02_0","教室栋二楼走廊男学生的委托
带城堡里会有的恶魔像过去","quest02_0","机翻辅助：

教室栋二楼走廊男学生的委托
带城堡里会有的恶魔像过去

教学楼2楼走廊上男生的委托
把城堡里的恶魔像拿去

带着城堡里的恶魔像去吧"
"quest03_0","教室男学生的委托
跟顶楼的女学生聊聊兴趣","quest03_0","机翻辅助：

教室男学生的委托
跟顶楼的女学生聊聊兴趣

教室里男生的委托
向屋顶上的女生询问兴趣爱好

从屋顶上的女生那里听到兴趣的话题"
"quest04_0","实习栋一楼男学生的委托
在电视里找出Ritz线并带过去","quest04_0","机翻辅助：

实习栋一楼男学生的委托
在电视里找出Ritz线并带过去

实习楼1楼男生的委托
在电视中寻找里兹线带去吧

实习大楼1楼男学生的委托
在电视中寻找litz线并带去"
"quest05_0","鲛川河滩地的男性委托
带梦幻芋烧酒　森兰丸过去","quest05_0","机翻辅助：

鲛川河滩地的男性委托
带梦幻芋烧酒　森兰丸过去

鲨鱼川河岸的男性的委托
带着梦幻的白薯烧酒森兰丸去吧

鲛川河边男性的委托
带着梦幻的芋头烧酒森兰丸去吧"
"quest06_0","来自神社狐狸的委托
绘马上写着，希望能和喜欢的人顺利进行
像女学生一样的字","quest06_0","机翻辅助：

来自神社狐狸的委托
绘马上写着，希望能和喜欢的人顺利进行
像女学生一样的字

神社狐狸的委托
绘马上写着“祝你和喜欢的人顺利”
像女生一样的字。

神社的狐狸委托
绘马上用女学生般的字体写着“希望和喜欢的人顺利发展”"
"quest07_0","实习栋二楼女学生的委托
带新桌子的材料用的板材过去","quest07_0","机翻辅助：

实习栋二楼女学生的委托
带新桌子的材料用的板材过去

来自实习楼2楼女学生的委托
带些板材去做新桌子。

来自实习楼2楼的女学生的委托
带去新桌子的素材的板材"
"quest08_0","商店街南侧的男性委托
带一颗白桃实过去交换书","quest08_0","机翻辅助：

商店街南侧的男性委托
带一颗白桃实过去交换书

商店街南侧的男性的委托
为了和书交换，带上一个白桃的果实吧

商店街南侧男性的委托
为了换书，拿一个白桃仁去吧"
"quest09_0","鲛川河滩地的年老女性委托
带开启箱子用的老旧钥匙过去","quest09_0","机翻辅助：

鲛川河滩地的年老女性委托
带开启箱子用的老旧钥匙过去

鲨鱼川河岸地的老年女性的委托
拿着打开箱子的旧钥匙去吧

鲛川河畔的老年女性的委托
带着打开箱子的旧钥匙去"
"quest10_0","教室栋二楼老师的委托
带看似有古怪的铁棒过去","quest10_0","机翻辅助：

教室栋二楼老师的委托
带看似有古怪的铁棒过去

教学楼2楼老师的委托
带着有意义的铁棒去吧

从教学楼2楼的老师那里得到的委托"
"quest11_0","商店街北侧的年老男性委托
带烧桑拿用的木炭过去","quest11_0","机翻辅助：

商店街北侧的年老男性委托
带烧桑拿用的木炭过去

商店街北侧的老年男性的委托
带着桑拿浴用的煤去吧

商业街北侧老年男性的委托
带些洗桑拿浴用的煤"
"quest12_0","实习大楼二楼的女学生委托
带不输给粘着剂的木板，去换新的桌子","quest12_0","机翻辅助：

实习大楼二楼的女学生委托
带不输给粘着剂的木板，去换新的桌子

来自实习大楼2楼女学生的委托
为了新桌子，拿一块不输给胶水的木板吧。

从实习楼2楼的女学生的委托
为了新的桌子，拿着不输给粘合剂的板子"
"quest13_0","神社的狐狸委托
在绘马上用女性的字体
写上希望不再讨厌点心","quest13_0","机翻辅助：

神社的狐狸委托
在绘马上用女性的字体
写上希望不再讨厌点心

神社狐狸的委托
绘马上用女性化的字体写着“想讨厌点心”


来自神社狐狸的委托
绘马用女性特有的字写着，想讨厌零食"
"quest14_0","商店街南侧的男性委托
带饲料去喂鲛川河河岸上的猫","quest14_0","机翻辅助：

商店街南侧的男性委托
带饲料去喂鲛川河河岸上的猫

商店街南侧的男性的委托
给在鲛川河岸的猫喂食吧

商店街南侧男子的委托
给鲛川河边的猫喂食"
"quest15_0","教室的女学生委托
带形状特殊的十字架过去","quest15_0","机翻辅助：

教室的女学生委托
带形状特殊的十字架过去

教室女生的委托
带着奇怪形状的十字架

教室里女学生的委托
带着奇形怪状的十字架"
"quest16_0","商店街南侧的老主妇委托
带装饰用的华丽鹿角过去","quest16_0","机翻辅助：

商店街南侧的老主妇委托
带装饰用的华丽鹿角过去

商店街南侧的老主妇的委托
带着装饰的壮丽的角去吧

来自商店街南侧老主妇的委托
为了装饰而带上壮丽的拐角"
"quest17_0","商店街南侧的少女委托
去找她妹妹，据说人在河岸","quest17_0","机翻辅助：

商店街南侧的少女委托
去找她妹妹，据说人在河岸

商店街南侧的少女的委托
寻找在河岸地的妹妹

来自商店街南侧少女的委托
去找找住在河边的妹妹吧"
"quest18_0","鲛川河河岸的少女委托
带和姐姐成对的花朵造型胸针过去","quest18_0","机翻辅助：

鲛川河河岸的少女委托
带和姐姐成对的花朵造型胸针过去

鲛川河边少女的委托
和姐姐一起拿一枚花形胸针

来自鲛川河岸的少女的委托
带着和姐姐一样的花的形状的胸针去吧"
"quest19_0","实习大楼一楼的男学生委托
带矿石收音机用的银块过去","quest19_0","机翻辅助：

实习大楼一楼的男学生委托
带矿石收音机用的银块过去

实习大楼1楼男生的委托
带着矿石收音机用的银块去

从实习楼1楼的男生那里得到的委托"
"quest20_0","神社的狐狸委托
在绘马上
写上希望狗儿回来","quest20_0","机翻辅助：

神社的狐狸委托
在绘马上
写上希望狗儿回来

神社狐狸的委托
绘马上写着，希望狗狗能回来，全家总动员


来自神社狐狸的委托
绘马上写着，希望狗能回来，全家出动"
"quest21_0","教室的女学生委托
带具有驱魔力量的头纱过去","quest21_0","机翻辅助：

教室的女学生委托
带具有驱魔力量的头纱过去

来自教室女学生的委托
带上有退魔之力的面纱吧

教室女生的委托
带着有退魔力量的面纱"
"quest22_0","商店街南侧的男性委托
带交换书本用的硬底靴子过去","quest22_0","机翻辅助：

商店街南侧的男性委托
带交换书本用的硬底靴子过去

商店街南侧的男性的委托
带着为了交换书的硬靴子去吧

商店街南侧男性的委托
带着交换书用的硬皮靴去吧"
"quest23_0","教室大楼三楼的男学生委托
漂亮回答他出的谜题","quest23_0","机翻辅助：

教室大楼三楼的男学生委托
漂亮回答他出的谜题

教学楼三楼男生的委托
巧妙回答他提出的谜题

完美地回答他提出的谜题"
