"source","target","id","developer_comments"
"skill_001_0","装备着的武器进行“物理”属性攻击","skill_001_0",""
"skill_002_0","使用火焰属性对单个目标造成小量伤害。","skill_002_0",""
"skill_003_0","以火焰属性对单个目标造成中等伤害。","skill_003_0",""
"skill_004_0","以火焰属性对单个目标造成大量伤害。","skill_004_0",""
"skill_005_0","“火焰”属性对全体造成小伤害。","skill_005_0",""
"skill_006_0","“火焰”属性对全体造成中等伤害。","skill_006_0",""
"skill_007_0","以“火焰”属性对全体造成大量伤害。","skill_007_0",""
"skill_008_0","“火焰”
属性，以单体为中心造成小伤害，具有扩散效果。","skill_008_0",""
"skill_009_0","以火焰属性对单个目标造成特大伤害。","skill_009_0",""
"skill_00E_0","“疾风”属性对单体造成小伤害。","skill_00E_0",""
"skill_00F_0","以“疾风”属性对单个目标造成中等伤害。","skill_00F_0",""
"skill_010_0","以“疾风”属性对单个目标造成大量伤害。","skill_010_0",""
"skill_011_0","以“疾风”属性对全体造成轻微伤害。","skill_011_0",""
"skill_012_0","以“疾风”属性对全体造成中等伤害。","skill_012_0",""
"skill_013_0","“疾风”属性对全体造成大伤害。","skill_013_0",""
"skill_014_0","“疾风”
属性对一列造成小伤害，特性：随机命中2-3次。","skill_014_0",""
"skill_015_0","“疾风”
属性对单体造成特大伤害，特性：扩散效果。","skill_015_0",""
"skill_01A_0","使用“冰冻”属性对单个目标造成小伤害。","skill_01A_0",""
"skill_01B_0","使用“冰结”属性对单个目标造成中等伤害。","skill_01B_0",""
"skill_01C_0","使用“冰冻”属性对单个目标造成大量伤害。","skill_01C_0",""
"skill_01D_0","使用“冰冻”属性对全体造成轻微伤害。","skill_01D_0",""
"skill_01E_0","“冰结”属性对全体造成中等伤害。","skill_01E_0",""
"skill_01F_0","使用“冰冻”属性对全体造成大量伤害。","skill_01F_0",""
"skill_020_0","使用“冰结”
属性对全体造成随机中等伤害，2-4次随机命中。","skill_020_0",""
"skill_021_0","使用“冰结”属性对单个目标造成特大伤害。","skill_021_0",""
"skill_022_0","“冰结”
属性对单体造成小伤害，具有贯穿效果。","skill_022_0",""
"skill_027_0","“电击”属性对单个目标造成小伤害。","skill_027_0",""
"skill_028_0","以“电击”属性对单个目标造成中等伤害。","skill_028_0",""
"skill_029_0","以“电击”属性对单个目标造成大量伤害。","skill_029_0",""
"skill_02A_0","“电击”属性对全体造成小伤害。","skill_02A_0",""
"skill_02B_0","用电击属性对全体造成中等伤害。","skill_02B_0",""
"skill_02C_0","对全体造成大量电击属性伤害","skill_02C_0",""
"skill_02E_0","对单个目标造成特大电击属性伤害","skill_02E_0",""
"skill_02F_0","以“电击”属性对单个目标造成比例伤害。","skill_02F_0",""
"skill_030_0","用电击属性对一列造成小伤害。","skill_030_0",""
"skill_031_0","以“电击”属性对全体造成相当于其HP比例的伤害。","skill_031_0",""
"skill_033_0","使用万能属性对全体造成中等伤害。","skill_033_0",""
"skill_034_0","“万能”属性对全体造成大量伤害","skill_034_0",""
"skill_035_0","“万能”属性对全体造成特大伤害。","skill_035_0",""
"skill_037_0","“万能”属性对单体造成超特大伤害。","skill_037_0",""
"skill_038_0","“万能”属性对全体造成超特大伤害。","skill_038_0",""
"skill_03D_0","《祝福》属性で単体を昇天させる
特性：[F2 01 03 01]低確率で対象を即死","skill_03D_0",""
"skill_03E_0","《祝福》属性で単体を昇天させる
特性：[F2 01 03 01]中確率で対象を即死","skill_03E_0",""
"skill_03F_0","《祝福》属性で全体を昇天させる
特性：[F2 01 03 01]低確率で対象を即死","skill_03F_0",""
"skill_040_0","《祝福》属性で全体を昇天させる
特性：[F2 01 03 01]中確率で対象を即死","skill_040_0",""
"skill_043_0","《祝福》属性で全体を昇天させる
特性：[F2 01 03 01]高確率で対象を即死","skill_043_0",""
"skill_048_0","《呪怨》属性で単体を呪い殺す
特性：[F2 01 03 01]低確率で対象を即死","skill_048_0",""
"skill_049_0","《呪怨》属性で単体を呪い殺す
特性：[F2 01 03 01]中確率で対象を即死","skill_049_0",""
"skill_04A_0","《呪怨》属性で全体を呪い殺す
特性：[F2 01 03 01]低確率で対象を即死","skill_04A_0",""
"skill_04B_0","《呪怨》属性で全体を呪い殺す
特性：[F2 01 03 01]中確率で対象を即死","skill_04B_0",""
"skill_04E_0","《呪怨》属性で全体を呪い殺す
特性：[F2 01 03 01]高確率で対象を即死","skill_04E_0",""
"skill_053_0","１列を《混乱》状態にする
特性：[F2 01 03 01]中確率で混乱付着","skill_053_0",""
"skill_054_0","敵全体を《混乱》状態にする
特性：[F2 01 03 01]中確率で混乱付着","skill_054_0",""
"skill_055_0","１列を《毒》状態にする
特性：[F2 01 03 01]中確率で毒付着","skill_055_0",""
"skill_056_0","敵全体を《毒》状態にする
特性：[F2 01 03 01]中確率で毒付着","skill_056_0",""
"skill_057_0","敵単体を《盲目》状態にする
特性：[F2 01 03 01]中確率で盲目付着","skill_057_0",""
"skill_058_0","敵全体を《盲目》状態にする
特性：[F2 01 03 01]中確率で盲目付着","skill_058_0",""
"skill_059_0","１列を《睡眠》状態にする
特性：[F2 01 03 01]中確率で睡眠付着","skill_059_0",""
