"source","target","id","developer_comments"
"weapon_001_0","容易使用的短刀","weapon_001_0","机翻辅助：

容易使用的短刀

容易操作的小刀

容易操作的小小刀"
"weapon_002_0","以轻巧素材制成的短刀
特性：[颜色 04]速＋2[颜色 01]","weapon_002_0","机翻辅助：

以轻巧素材制成的短刀
特性：[颜色 04]速＋2[颜色 01]

用轻的材料制成的小刀
特性：[颜色 04]速+2[颜色 01]

用轻的素材制作的刀
特性：[颜色 04]速+ 2[颜色 01]"
"weapon_003_0","锐利度增加的小匕首
特性：[颜色 04]命中率提升10％[颜色 01]","weapon_003_0","机翻辅助：

锐利度增加的小匕首
特性：[颜色 04]命中率提升10％[颜色 01]

增加了锐度的小道格
特性：[颜色 04]命中率提高10%[颜色 01]

锐度增加的小匕首
特性：[颜色 04]命中率提高10%[颜色 01]"
"weapon_004_0","涂上红色毒药，散发诡异光芒的匕首
特性：[颜色 04]低概率附加“麻痹”[颜色 01]","weapon_004_0","机翻辅助：

涂上红色毒药，散发诡异光芒的匕首
特性：[颜色 04]低概率附加“麻痹”[颜色 01]

涂有红色毒药的奇怪发光的小刀
特性：[颜色 04]低概率附着“麻痹”[颜色 01]

涂着红色毒液的诡异发光的小刀
特性：[颜色 04]低概率附着“麻痹”[颜色 01]"
"weapon_005_0","尼泊尔产的刀身弯曲的匕首","weapon_005_0","机翻辅助：

尼泊尔产的刀身弯曲的匕首

尼泊尔产的弯曲刀身的小刀

尼泊尔产的弯曲刀身的刀"
"weapon_006_0","刀身经过红热加工，易于涂毒的短剑
特性：[颜色 04]低概率附加“毒”[颜色 01]","weapon_006_0","机翻辅助：

刀身经过红热加工，易于涂毒的短剑
特性：[颜色 04]低概率附加“毒”[颜色 01]

通过对刀身进行红热加工，使其更容易涂上毒药的短剑
特性：[颜色 04]低概率附着“毒”[颜色 01]

剑身赤热加工使之容易涂毒的短剑
特性：[颜色 04]以低概率附着“毒”[颜色 01]"
"weapon_007_0","刀身镀上银的仪式用短剑
特性：[颜色 04]魔＋1[颜色 01]","weapon_007_0","机翻辅助：

刀身镀上银的仪式用短剑
特性：[颜色 04]魔＋1[颜色 01]

刀身被银涂层的仪式用短剑
特性：[颜色 04]魔+1[颜色 01]

剑身被银涂层的仪式用短剑
特性：[颜色 04]魔+ 1[颜色 01]"
"weapon_008_0","加工成易于携带的黑色锐利矿石匕首
特性：[颜色 04]低威力附加“贯通”效果[颜色 01]","weapon_008_0","机翻辅助：

加工成易于携带的黑色锐利矿石匕首
特性：[颜色 04]低威力附加“贯通”效果[颜色 01]

容易持有黑色锐利的矿石加工了的刀
特性：[颜色 04]低威力“贯通”效果[颜色 01]

具有黑色锐利的矿石加工刀
特性：[颜色 04]低威力“贯通”效果[颜色 01]"
"weapon_009_0","强化品格与锋利度的美丽短剑
特性：[颜色 04]运＋2[颜色 01]","weapon_009_0","机翻辅助：

强化品格与锋利度的美丽短剑
特性：[颜色 04]运＋2[颜色 01]

强化了品格和锋利的美丽短剑
特性：[颜色 04]运+2[颜色 01]

强化了品格和锋利的美丽的短剑
特性：[颜色 04]运+ 2[颜色 01]"
"weapon_00A_0","增加高级感与锋利度的匕首
特性：[颜色 04]最大SP10％提升[颜色 01]","weapon_00A_0","机翻辅助：

增加高级感与锋利度的匕首
特性：[颜色 04]最大SP10％提升[颜色 01]

增加了高级感和锋利感的小刀
特性：[颜色 04]最大SP10%提高[颜色 01]

增加了高级感和锋利的刀
特性：[颜色 04]最大SP提高10%[颜色 01]"
"weapon_00B_0","以杀人般的威容为傲的匕首
特性：[颜色 04]速＋3[颜色 01]","weapon_00B_0","机翻辅助：

以杀人般的威容为傲的匕首
特性：[颜色 04]速＋3[颜色 01]

具有杀人威容的小刀
特性：[颜色 04]速+3[颜色 01]

炫耀杀人威容的刀
特性：[颜色 04]速+ 3[颜色 01]"
"weapon_00C_0","带有科学力量的近未来短剑
特性：[颜色 04]中概率附加“麻痹”[颜色 01]","weapon_00C_0","机翻辅助：

带有科学力量的近未来短剑
特性：[颜色 04]中概率附加“麻痹”[颜色 01]

带有科学力量的近未来短剑
特性：[颜色 04]中概率附着“麻痹”[颜色 01]

带有科学力量的近未来的短剑
特性：[颜色 04]中概率附着“麻痹”[颜色 01]"
"weapon_00D_0","以自然界不存在的矿物锻造而成的小型匕首
特性：[颜色 04]会心一击率5％提升[颜色 01]","weapon_00D_0","机翻辅助：

以自然界不存在的矿物锻造而成的小型匕首
特性：[颜色 04]会心一击率5％提升[颜色 01]

锻炼了自然界没有的矿物的小型小刀
特性：[颜色 04]关键率5%提高[颜色 01]

在自然界中没有的矿物锻造的小型小刀
特性：[颜色 04]暴击率提高5%[颜色 01]"
"weapon_00E_0","被不断用在偏离原本用途的方式的汤匙
特性：[颜色 04]低概率附加“即死”效果[颜色 01]","weapon_00E_0","机翻辅助：

被不断用在偏离原本用途的方式的汤匙
特性：[颜色 04]低概率附加“即死”效果[颜色 01]

持续被使用偏离了本来的用途的汤匙
特性：[颜色 04]低概率“当场死亡”效果[颜色 01]

一直被使用偏离原本用途的匙
特性：[颜色 04]低概率“当场死亡”效果[颜色 01]"
"weapon_00F_0","产生弹开攻击的磁场的不可思议短剑
特性：[颜色 04]耐＋4[颜色 01]","weapon_00F_0","机翻辅助：

产生弹开攻击的磁场的不可思议短剑
特性：[颜色 04]耐＋4[颜色 01]

使之产生弹攻击的磁场的不可思议的短剑
特性：[颜色 04]耐+4[颜色 01]

不可思议的短剑产生弹攻击的磁场
特性：[颜色 04]耐+ 4[颜色 01]"
"weapon_010_0","某位炼金术师持有的寄宿着恶魔的短剑
特性：[颜色 04]最大SP10％提升／魔＋3[颜色 01]","weapon_010_0","机翻辅助：

某位炼金术师持有的寄宿着恶魔的短剑
特性：[颜色 04]最大SP10％提升／魔＋3[颜色 01]

寄宿某炼金术师所持恶魔的短剑
特性：[颜色 04]最大SP10%上升/魔+3[颜色 01]

某个炼金术师持有的寄宿恶魔的短剑
特性：[颜色 04]最大SP提高10% /魔+ 3[颜色 01]"
"weapon_011_0","被安装了能对应各种状况的机关的法杖
特性：[颜色 04]全能力值＋2[颜色 01]","weapon_011_0","机翻辅助：

被安装了能对应各种状况的机关的法杖
特性：[颜色 04]全能力值＋2[颜色 01]

能应对所有状况的手杖
特性：[颜色 04]全参数+ 2[颜色 01]

所有情况下准备的拐杖
特性：[颜色 04]所有参数+2[颜色 01]"
