"source","target","id","developer_comments"
"offset_00065820_0","NULL","offset_00065820_0",""
"offset_00065836_0","进击小刀","offset_00065836_0","机翻辅助：

进击小刀"
"offset_0006584c_0","軽量化ナイフ","offset_0006584c_0",""
"offset_00065862_0","冰封匕首","offset_00065862_0","机翻辅助：

冰封匕首"
"offset_00065878_0","真紅のナイフ","offset_00065878_0",""
"offset_0006588e_0","廓尔喀刀","offset_0006588e_0","机翻辅助：

廓尔喀刀"
"offset_000658a4_0","炽火刀","offset_000658a4_0","机翻辅助：

炽火刀"
"offset_000658ba_0","白银匕首","offset_000658ba_0","机翻辅助：

白银匕首"
"offset_000658d0_0","黒曜石のナイフ","offset_000658d0_0",""
"offset_000658e6_0","剥皮小刀","offset_000658e6_0","机翻辅助：

剥皮小刀"
"offset_000658fc_0","高級コピスナイフ","offset_000658fc_0",""
"offset_00065912_0","夺命手术刀","offset_00065912_0","机翻辅助：

夺命手术刀"
"offset_00065928_0","超電磁ダガー","offset_00065928_0",""
"offset_0006593e_0","ディルクナイフ","offset_0006593e_0",""
"offset_00065954_0","首刈りスプーン","offset_00065954_0",""
"offset_0006596a_0","格挡匕首","offset_0006596a_0","机翻辅助：

格挡匕首"
"offset_00065980_0","アゾットダガー","offset_00065980_0",""
"offset_00065996_0","怪盗绅士手杖","offset_00065996_0","机翻辅助：

怪盗绅士手杖"
"offset_000659ac_0","妖刀ニヒル","offset_000659ac_0",""
"offset_000659c2_0","慈悲短剑","offset_000659c2_0","机翻辅助：

慈悲短剑"
"offset_000659d8_0","失乐园","offset_000659d8_0","机翻辅助：

失乐园"
"offset_00065a04_0","脱獄スプーン","offset_00065a04_0",""
"offset_00065a1a_0","生存者のナイフ","offset_00065a1a_0",""
"offset_00065af6_0","铁管","offset_00065af6_0","机翻辅助：

铁管"
"offset_00065b0c_0","釘バット","offset_00065b0c_0",""
"offset_00065b22_0","軽量化ロッド","offset_00065b22_0",""
"offset_00065b38_0","地狱强棒","offset_00065b38_0","机翻辅助：

地狱强棒"
"offset_00065b4e_0","重钢管","offset_00065b4e_0","机翻辅助：

重钢管"
"offset_00065b7a_0","重型钉锤","offset_00065b7a_0","机翻辅助：

重型钉锤"
