"source","target","id","developer_comments"
"text_001_0","现在，能做的事……","text_001_0","机翻辅助：

现在，能做的事……

现在，能做的……"
"text_002_0","计划切割","text_002_0","机翻辅助：

计划切割

预定剪发"
"text_003_0","不良少年战争爆发……？","text_003_0","机翻辅助：

不良少年战争爆发……？

洋基战争爆发……？"
"text_004_0","目标！功夫模特！","text_004_0","机翻辅助：

目标！功夫模特！"
"text_005_0","计划切割","text_005_0","机翻辅助：

计划切割

预定剪发"
"text_006_0","调查古代生物！","text_006_0","机翻辅助：

调查古代生物！"
"text_007_0","肉、艺术、友情……","text_007_0","机翻辅助：

肉、艺术、友情……

肉体、艺术、友情……"
"text_008_0","找出冒牌警察！","text_008_0","机翻辅助：

找出冒牌警察！

找出假警察！"
"text_009_0","找到灵魂的呼唤吧！","text_009_0","机翻辅助：

找到灵魂的呼唤吧！

寻找灵魂的呐喊！"
"text_010_0","应该守护的东西是……","text_010_0","机翻辅助：

应该守护的东西是……

应该保护的是……"
"text_011_0","夺取黄金的宝物！","text_011_0","机翻辅助：

夺取黄金的宝物！

夺取黄金宝物！"
"text_012_0","制作图罗斯吧！","text_012_0","机翻辅助：

制作图罗斯吧！

造个楚洛斯吧！"
"text_013_0","求新的爆米花","text_013_0","机翻辅助：

求新的爆米花

购买新爆米花"
"text_014_0","各自的锁链","text_014_0","机翻辅助：

各自的锁链

每条链"
"text_015_0","把肉食兽逼到绝境！","text_015_0","机翻辅助：

把肉食兽逼到绝境！

把食肉兽逼上绝路！"
"text_016_0","丢失的技术？","text_016_0","机翻辅助：

丢失的技术？

失落的科技？"
"text_017_0","作为站在上面的人","text_017_0","机翻辅助：

作为站在上面的人

作为高高在上的人"
"text_018_0","超越世界的羁绊","text_018_0","机翻辅助：

超越世界的羁绊

跨越世界的纽带"
"text_019_0","双胞胎的考验","text_019_0","机翻辅助：

双胞胎的考验"
"text_020_0","计划切割","text_020_0","机翻辅助：

计划切割

预定剪发"
"text_021_0","肚子饿男子的0日元烹饪","text_021_0","机翻辅助：

肚子饿男子的0日元烹饪

饥肠辘辘男子的0日元烹饪"
"text_022_0","怪盗与少年的正义","text_022_0","机翻辅助：

怪盗与少年的正义"
"text_023_0","超越世界的信赖","text_023_0","机翻辅助：

超越世界的信赖

超越世界的信任"
"text_024_0","探索A.I.G.I.S！","text_024_0","机翻辅助：

探索A.I.G.I.S！"
"text_025_0","埃癸斯的输出调整","text_025_0","机翻辅助：

埃癸斯的输出调整"
"text_026_0","突然决定战！","text_026_0","机翻辅助：

突然决定战！

大头娃娃决定战！"
